Symbol,Name,LastSale,MarketCap,Sector,industry
PIH,"1347 Property Insurance Holdings, Inc.",7.225,$43.24M,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.058,$64.05M,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",9.55,$617.16M,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),18.35,$148.14M,Finance,Savings Institutions
SRCE,1st Source Corporation,50.03,$1.3B,Finance,Major Banks
VNET,"21Vianet Group, Inc.",7.24,$814.5M,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",68.91,$3.6B,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",61.95,$3.83B,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,15.35,$1.21B,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,14.1,$1.3B,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",18.6,$417.68M,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",38.15,$1.13B,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",35.85,$1.88B,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",49.54,$1.12B,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,16.8,$785.82M,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,12.2052,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,0.515,$13.26M,Finance,Business Services
ABMD,"ABIOMED, Inc.",199.74,$8.83B,Health Care,Medical/Dental Instruments
ABLX,Ablynx NV,22.8,$1.7B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXAS,Abraxas Petroleum Corporation,2.055,$340.9M,Energy,Oil & Gas Production
ACIU,AC Immune SA,11.48,$653.47M,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",40,$1.58B,Technology,Semiconductors
ACTG,Acacia Research Corporation,4.25,$215.07M,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",30.36,$2.67B,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,28,$3.48B,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",1.96,$28.88M,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",26.55,$1.47B,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,37.18,$1.68B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,28.49,$582.7M,Finance,Savings Institutions
ARAY,Accuray Incorporated,5.25,$440.57M,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",2.25,$113.26M,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,17.655,$113.89M,Health Care,Major Pharmaceuticals
ACERW,Acer Therapeutics Inc.,0.0215,n/a,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,10.19,$312.23M,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",12.2,$517.2M,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",1.56,$18.64M,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",3.26,$449.42M,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",23.38,$2.77B,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",23.27,$717.52M,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",6.87,$103.82M,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,28,$196.55M,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",20.5,$958.32M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SQZZ,Active Alts Contrarian ETF,24.68,n/a,n/a,n/a
ATVI,"Activision Blizzard, Inc",66.03,$49.93B,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,15.55,$508.83M,Technology,EDP Services
ACXM,Acxiom Corporation,26.8,$2.12B,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",33.7,$767.65M,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,4.2,$140.23M,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,8.24,$771.98M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,32.1,$373.38M,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.45,$14.78M,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,8.45,$178.62M,Technology,Semiconductors
ADMA,ADMA Biologics Inc,3.19,$144.56M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,184.46,$90.93B,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",3.87,$263.43M,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",22.3,$1.07B,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",9,$699.57M,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,81.22,$3.59B,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",10.47,$220.81M,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",85.14,$3.38B,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",11.38,$10.98B,Technology,Semiconductors
ADXS,"Advaxis, Inc.",3.035,$124.63M,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",0.82,n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",3.05,$137.38M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AEGN,Aegion Corp,27.4,$891.23M,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",4.17,$69.41M,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,2.92,$62.9M,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",0.705,$13.98M,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",61.3,$2.25B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",45,$1.07B,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,2.1,$34.53M,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.069,$16.14M,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",1.27,$75.35M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,2.1,$93.81M,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,3.92,$392.72M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",5.17,$176.74M,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",12.15,$281.91M,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",61.32,$2.99B,Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,20.24,$7.92B,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,26.3,$9.11B,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,26.028,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",5.72,$287.93M,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.315,n/a,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",11.9,$175.15M,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",35.89,$1.83B,Health Care,Major Pharmaceuticals
